,Guitar Name ,href 
10,"JMFinger Full Size Classical Guitar 39 inch Guitar for Beginners with Gig Bag, Strap, Picks, 3 in 1 Metronome&Tuner,Natural",/JMFinger-Full-Size-Classical-inch/dp/B0876NN4S3/ref=sxin_14_trfob_2_B0876NN4S3?content-id=amzn1.sym.d1687343-4d33-4fc8-8397-a05b9928ee2a%3Aamzn1.sym.d1687343-4d33-4fc8-8397-a05b9928ee2a&crid=2IQADK0QSXLPZ&cv_ct_cx=guitar&keywords=guitar&pd_rd_i=B0876NN4S3&pd_rd_r=cad9fe00-8165-4ecc-acc1-b0172811c40f&pd_rd_w=Hg5Wl&pd_rd_wg=2La0H&pf_rd_p=d1687343-4d33-4fc8-8397-a05b9928ee2a&pf_rd_r=17DAGAW97GSE7GQP12CF&qid=1656169171&sprefix=guitar%2Caps%2C447&sr=1-3-eef91bd8-9d31-490c-8bb3-80f02876f902
11,"JMFinger Classical Guitar 30 Inch, Nylon Strings Wooden Guitar Set with Gig Bag, Strap, 2Picks, 3 in 1 Metronome & Tuner for Beginner (Sunburst)",/JMFinger-Classical-30-Inch-Sunburst/dp/B094J9D3DP/ref=sxin_14_trfob_3_B094J9D3DP?content-id=amzn1.sym.d1687343-4d33-4fc8-8397-a05b9928ee2a%3Aamzn1.sym.d1687343-4d33-4fc8-8397-a05b9928ee2a&crid=2IQADK0QSXLPZ&cv_ct_cx=guitar&keywords=guitar&pd_rd_i=B094J9D3DP&pd_rd_r=cad9fe00-8165-4ecc-acc1-b0172811c40f&pd_rd_w=Hg5Wl&pd_rd_wg=2La0H&pf_rd_p=d1687343-4d33-4fc8-8397-a05b9928ee2a&pf_rd_r=17DAGAW97GSE7GQP12CF&qid=1656169171&sprefix=guitar%2Caps%2C447&sr=1-4-eef91bd8-9d31-490c-8bb3-80f02876f902
12,"Best Choice Products 41in Beginner Acoustic Guitar Full Size All Wood Cutaway Guitar Starter Set Bundle with Case, Strap, Capo, Strings, Picks, Tuner - Black",/Best-Choice-Products-Instrument-Polishing/dp/B07KRQHLJG/ref=sxin_15_ac_d_mf_brs?ac_md=1-0-QmVzdCBDaG9pY2UgUHJvZHVjdHM%3D-ac_d_mf_brs_brs&content-id=amzn1.sym.57f74923-af1a-4e1a-b97b-9c2e72717055%3Aamzn1.sym.57f74923-af1a-4e1a-b97b-9c2e72717055&crid=2IQADK0QSXLPZ&cv_ct_cx=guitar&keywords=guitar&pd_rd_i=B07KRQHLJG&pd_rd_r=cad9fe00-8165-4ecc-acc1-b0172811c40f&pd_rd_w=cdjPi&pd_rd_wg=2La0H&pf_rd_p=57f74923-af1a-4e1a-b97b-9c2e72717055&pf_rd_r=17DAGAW97GSE7GQP12CF&psc=1&qid=1656169171&sprefix=guitar%2Caps%2C447&sr=1-1-dd96d2aa-78c0-4648-bd3e-11643d087866
13,"Fender Squier Dreadnought Acoustic Guitar - Sunburst Learn-to-Play Bundle with Gig Bag, Tuner, Strap, Strings, Picks, String Winder, Fender Play, and Austin Bazaar Instructional DVD",/Fender-Squier-Dreadnought-Acoustic-Guitar/dp/B086KYGC9J/ref=sxin_15_ac_d_mf_brs?ac_md=3-2-RmVuZGVy-ac_d_mf_brs_brs&content-id=amzn1.sym.57f74923-af1a-4e1a-b97b-9c2e72717055%3Aamzn1.sym.57f74923-af1a-4e1a-b97b-9c2e72717055&crid=2IQADK0QSXLPZ&cv_ct_cx=guitar&keywords=guitar&pd_rd_i=B086KYGC9J&pd_rd_r=cad9fe00-8165-4ecc-acc1-b0172811c40f&pd_rd_w=cdjPi&pd_rd_wg=2La0H&pf_rd_p=57f74923-af1a-4e1a-b97b-9c2e72717055&pf_rd_r=17DAGAW97GSE7GQP12CF&psc=1&qid=1656169171&sprefix=guitar%2Caps%2C447&sr=1-2-dd96d2aa-78c0-4648-bd3e-11643d087866
14,"Beginner 41” Cutaway Acoustic Guitar - Standard Full Size 6 String Dreadnought Natural Matte Finish w/ Gig Bag, Tuner, Steel Strings, Picks, Strap, Capo, For Beginners/Adults - Pyle PGA480NT",/Beginner-Cutaway-Acoustic-Guitar-Dreadnought/dp/B08QW81F4H/ref=sxin_15_ac_d_mf_brs?ac_md=4-3-UHlsZQ%3D%3D-ac_d_mf_brs_brs&content-id=amzn1.sym.57f74923-af1a-4e1a-b97b-9c2e72717055%3Aamzn1.sym.57f74923-af1a-4e1a-b97b-9c2e72717055&crid=2IQADK0QSXLPZ&cv_ct_cx=guitar&keywords=guitar&pd_rd_i=B08QW81F4H&pd_rd_r=cad9fe00-8165-4ecc-acc1-b0172811c40f&pd_rd_w=cdjPi&pd_rd_wg=2La0H&pf_rd_p=57f74923-af1a-4e1a-b97b-9c2e72717055&pf_rd_r=17DAGAW97GSE7GQP12CF&psc=1&qid=1656169171&sprefix=guitar%2Caps%2C447&sr=1-3-dd96d2aa-78c0-4648-bd3e-11643d087866
15,Yamaha FG800 Folk Acoustic Guitar Vintage Tint,/Yamaha-FG800-Acoustic-Guitar-Vintage/dp/B01DS3L3HO/ref=sxin_15_ac_d_mf_brs?ac_md=5-4-WWFtYWhh-ac_d_mf_brs_brs&content-id=amzn1.sym.57f74923-af1a-4e1a-b97b-9c2e72717055%3Aamzn1.sym.57f74923-af1a-4e1a-b97b-9c2e72717055&crid=2IQADK0QSXLPZ&cv_ct_cx=guitar&keywords=guitar&pd_rd_i=B01DS3L3HO&pd_rd_r=cad9fe00-8165-4ecc-acc1-b0172811c40f&pd_rd_w=cdjPi&pd_rd_wg=2La0H&pf_rd_p=57f74923-af1a-4e1a-b97b-9c2e72717055&pf_rd_r=17DAGAW97GSE7GQP12CF&psc=1&qid=1656169171&sprefix=guitar%2Caps%2C447&sr=1-4-dd96d2aa-78c0-4648-bd3e-11643d087866
16,Fender FA-235E Concert Bodied Acoustic Guitar - Moonlight Burst,/Fender-FA-235E-Concert-Bodied-Acoustic/dp/B07BCQ7P7Z/ref=sr_1_4?crid=2IQADK0QSXLPZ&keywords=guitar&qid=1656169171&sprefix=guitar%2Caps%2C447&sr=8-4
17,Fender CC-60SCE Concert Acoustic Guitar - Natural,/Squier-by-Fender-Acoustic-Guitar/dp/B07FYQD68V/ref=sr_1_5?crid=2IQADK0QSXLPZ&keywords=guitar&qid=1656169171&sprefix=guitar%2Caps%2C447&sr=8-5
18,"Yamaha GL Series GL1 TBS Guitalele, Tobacco Sunburst",/Yamaha-GL1-Guitalele-Tobacco-Sunburst/dp/B00AC0OBYE/ref=sr_1_6?crid=2IQADK0QSXLPZ&keywords=guitar&qid=1656169171&sprefix=guitar%2Caps%2C447&sr=8-6
19,Ibanez AEWC400FM Acoustic-Electric Guitar,/Ibanez-AEWC400FM-Acoustic-Electric-Guitar/dp/B07MBNCVHD/ref=sr_1_7?crid=2IQADK0QSXLPZ&keywords=guitar&qid=1656169171&sprefix=guitar%2Caps%2C447&sr=8-7
20,Fender Newporter Player Acoustic Guitar - Natural,/Fender-Newporter-Player-Acoustic-Guitar/dp/B088FZ1WX5/ref=sr_1_8?crid=2IQADK0QSXLPZ&keywords=guitar&qid=1656169171&sprefix=guitar%2Caps%2C447&sr=8-8
21,Yamaha JR1 FG Junior 3/4 Size Acoustic Guitar,/Yamaha-JR1-Junior-Acoustic-Guitar/dp/B00009J580/ref=sr_1_9?crid=2IQADK0QSXLPZ&keywords=guitar&qid=1656169171&sprefix=guitar%2Caps%2C447&sr=8-9
22,"Yamaha SLG200S NT Steel String Silent Guitar with Hard Gig Bag, Natural",/Yamaha-SLG200S-String-Silent-Natural/dp/B00XPHLBJY/ref=sr_1_10?crid=2IQADK0QSXLPZ&keywords=guitar&qid=1656169171&sprefix=guitar%2Caps%2C447&sr=8-10
23,"Traveler Guitar Acoustic Guitar 6 String Pro-Series Mod-X (Matte Black), Right, (PSM BKM)",/Traveler-Guitar-String-PSM-BKM/dp/B07K8MGPWJ/ref=sr_1_11?crid=2IQADK0QSXLPZ&keywords=guitar&qid=1656169171&sprefix=guitar%2Caps%2C447&sr=8-11
24,Gretsch Guitars G5024E Rancher Dreadnought Acoustic-Electric Guitar Sunburst,/Gretsch-Guitars-Dreadnought-Acoustic-Electric-Sunburst/dp/B00I1SGX5Y/ref=sr_1_12?crid=2IQADK0QSXLPZ&keywords=guitar&qid=1656169171&sprefix=guitar%2Caps%2C447&sr=8-12
25,"Beginner 30” Classical Acoustic Guitar - 1/4 Junior Size 6 String Linden Wood Guitar w/ Gig Bag, Tuner, Nylon Strings, Picks, Strap, For Beginners, Adults - Pyle PGACLS30",/Beginner-Classical-Acoustic-Guitar-Traditional/dp/B07NVWHBBH/ref=sr_1_13?crid=2IQADK0QSXLPZ&keywords=guitar&qid=1656169171&sprefix=guitar%2Caps%2C447&sr=8-13
26,"Epiphone Songmaker DR-100, Dreadnought Acoustic Guitar - Vintage Sunburst",/Epiphone-DR-100-Acoustic-Vintage-Sunburst/dp/B0002F7IV2/ref=sr_1_14?crid=2IQADK0QSXLPZ&keywords=guitar&qid=1656169171&sprefix=guitar%2Caps%2C447&sr=8-14
27,Ibanez GA35TCEDVS Acoustic/Electric Guitar - Dark Violin Burst,/Ibanez-GA35TCEDVS-Acoustic-Electric-Guitar/dp/B00J8R69ME/ref=sr_1_15?crid=2IQADK0QSXLPZ&keywords=guitar&qid=1656169171&sprefix=guitar%2Caps%2C447&sr=8-15
28,"Ovation CE44-5 Acoustic-Electric Guitar, Black",/Ovation-CE44-5-Acoustic-Electric-Guitar-Black/dp/B00HT5H7TG/ref=sr_1_16?crid=2IQADK0QSXLPZ&keywords=guitar&qid=1656169171&sprefix=guitar%2Caps%2C447&sr=8-16
29,Ibanez AEG50 Acoustic-Electric Guitar (Indigo Blue Burst),/Ibanez-Semi-Acoustic-Guitar-Walnut-Fretboard/dp/B083YX5NLF/ref=sr_1_17?crid=2IQADK0QSXLPZ&keywords=guitar&qid=1656169171&sprefix=guitar%2Caps%2C447&sr=8-17
30,Fender CD-60SCE Acoustic-Electric Guitar - Dreadnought Body Style - Black Finish,/Fender-CD-60SCE-Acoustic-Electric-Guitar-Dreadnought/dp/B07F39CHRZ/ref=sr_1_18?crid=2IQADK0QSXLPZ&keywords=guitar&qid=1656169171&sprefix=guitar%2Caps%2C447&sr=8-18
31,"Fender Limited Edition Player Stratocaster Electric Guitar, Maple Fingerboard, Lake Placid Blue",/Fender-Stratocaster-Electric-Fingerboard-Polyester/dp/B07X223RNZ/ref=sr_1_19?crid=2IQADK0QSXLPZ&keywords=guitar&qid=1656169171&sprefix=guitar%2Caps%2C447&sr=8-19
32,Yamaha CGS102A Half-Size Classical Guitar - Natural,/Yamaha-CGS102A-Half-Size-Classical-Guitar/dp/B005F25DUU/ref=sr_1_20?crid=2IQADK0QSXLPZ&keywords=guitar&qid=1656169171&sprefix=guitar%2Caps%2C447&sr=8-20
33,"Guild Guitars DS-240 Slope Shoulder Acoustic Guitar, Vintage Sunburst, Solid Top, Westerly: Memoir Collection",/Guitars-Shoulder-Acoustic-Sunburst-Westerly/dp/B07MZFDJ5T/ref=sr_1_21?crid=2IQADK0QSXLPZ&keywords=guitar&qid=1656169171&sprefix=guitar%2Caps%2C447&sr=8-21
34,"Ibanez 3/4 Mini Dreadnought Acoustic Guitar, Open Pore Natural",/Ibanez-PF2MHOPN-PF2MH-size-Natural/dp/B00I4SZ6RW/ref=sr_1_22?crid=2IQADK0QSXLPZ&keywords=guitar&qid=1656169171&sprefix=guitar%2Caps%2C447&sr=8-22
35,"Martin Guitar Road Series D-10E Acoustic-Electric Guitar with Gig Bag, Sitka Spruce and Sapele Construction, D-14 Fret and Performing Artist Neck Shape with High-Performance Taper",/Martin-Acoustic-Electric-Construction-Performing-High-Performance/dp/B07MWY9JXR/ref=sr_1_23?crid=2IQADK0QSXLPZ&keywords=guitar&qid=1656169171&sprefix=guitar%2Caps%2C447&sr=8-23
36,Squier by Fender Bullet Stratocaster - Hard Tail - Laurel Fingerboard - Sonic Gray,/Squier-Fender-Bullet-Hard-Stratocaster/dp/B07TGQHCT5/ref=sr_1_24?crid=2IQADK0QSXLPZ&keywords=guitar&qid=1656169171&sprefix=guitar%2Caps%2C447&sr=8-24
37,Traveler Guitar Ultra-Light Electric,/Traveler-Guitar-Solid-Body-ULE-BKM/dp/B07GT85S2B/ref=sr_1_25?crid=2IQADK0QSXLPZ&keywords=guitar&qid=1656169171&sprefix=guitar%2Caps%2C447&sr=8-25
38,"Traveler Guitar 6 String Solid-Body Electric Guitar, Right, Vintage Black (EC1 VBKM)",/Traveler-Guitar-Solid-Body-EC1-VBKM/dp/B07DD6JZ28/ref=sr_1_26?crid=2IQADK0QSXLPZ&keywords=guitar&qid=1656169171&sprefix=guitar%2Caps%2C447&sr=8-26
39,"Latitude Cardinal Headless Electric Guitar 6 String Solid Body Travel Guitar with Gig Bag, Roasted ASH Body with H-H Pickups Guitar, Right, Transparent Finish",/Latitude-Cardinal-Headless-Electric-Transparent/dp/B09Y875LG8/ref=sr_1_27?crid=2IQADK0QSXLPZ&keywords=guitar&qid=1656169171&sprefix=guitar%2Caps%2C447&sr=8-27
40,"Cordoba Mini II M, Mahogany, Small Body, Nylon String Guitar",/Cordoba-Guitars-03951-Mini-II/dp/B07FT6YMS1/ref=sr_1_28?crid=2IQADK0QSXLPZ&keywords=guitar&qid=1656169171&sprefix=guitar%2Caps%2C447&sr=8-28
41,Schecter 3701 Synyster Gates-GA SC-Acoustic Guitar,/Schecter-3701-Synyster-Gates-GA-SC-Acoustic/dp/B01ATAKLWW/ref=sr_1_29?crid=2IQADK0QSXLPZ&keywords=guitar&qid=1656169171&sprefix=guitar%2Caps%2C447&sr=8-29
42,"Cordoba C5-CE CD Lefty Cutaway Acoustic-Electric Nylon String Guitar, Iberia Series",/Cordoba-C5-CE-Left-Handed-Acoustic-Classical/dp/B00BMIGBQG/ref=sr_1_30?crid=2IQADK0QSXLPZ&keywords=guitar&qid=1656169171&sprefix=guitar%2Caps%2C447&sr=8-30
43,"Rise by Sawtooth Right Handed Beginner Electric Guitar Kit, Black",/Rise-Sawtooth-ST-RISE-ST-BLK-KIT-1-Electric-Guitar/dp/B015YLZPCM/ref=sr_1_31?crid=2IQADK0QSXLPZ&keywords=guitar&qid=1656169171&sprefix=guitar%2Caps%2C447&sr=8-31
44,"Gretsch 6 String Acoustic-Electric Guitar, Right, Smokestack Black (2705000506)",/Gretsch-G9520E-Rickey-Acoustic-Electric-Soundhole/dp/B08JCMK9DV/ref=sr_1_32?crid=2IQADK0QSXLPZ&keywords=guitar&qid=1656169171&sprefix=guitar%2Caps%2C447&sr=8-32
45,"Traveler Guitar Acoustic Guitar 6 String Escape Mark III (Mahogany), Right, (MK3 MHS)",/Traveler-Guitar-Mahogany-MK3-MHS/dp/B07JR7Y8YD/ref=sr_1_33?crid=2IQADK0QSXLPZ&keywords=guitar&qid=1656169171&sprefix=guitar%2Caps%2C447&sr=8-33
46,"Ibanez AEG5012 AEG Series Single-Cutaway 12-String Acoustic-Electric Guitar, Black",/Ibanez-AEG5012-Single-Cutaway-12-String-Acoustic-Electric/dp/B08W1YKCH5/ref=sr_1_34?crid=2IQADK0QSXLPZ&keywords=guitar&qid=1656169171&sprefix=guitar%2Caps%2C447&sr=8-34
47,"Martin Smith 38 Inch Acoustic Guitar, Black, With Case, Pick, Tuner, Strap, Extra Strings and 2 months of Lessons",/Martin-Smith-Acoustic-Strings-Lessons/dp/B078LY6H2Q/ref=sr_1_35?crid=2IQADK0QSXLPZ&keywords=guitar&qid=1656169171&sprefix=guitar%2Caps%2C447&sr=8-35
48,"Jasmine S34C NEX Acoustic Guitar,Natural",/Jasmine-S34C-NEX-Acoustic-Guitar/dp/B0002GXZK4/ref=sr_1_36?crid=2IQADK0QSXLPZ&keywords=guitar&qid=1656169171&sprefix=guitar%2Caps%2C447&sr=8-36
49,Fender CB-60SCE Acoustic Bass Guitar - Black,/Fender-CB-60SCE-Concert-Acoustic-Electric-Guitar/dp/B07D9RMY6K/ref=sr_1_37?crid=2IQADK0QSXLPZ&keywords=guitar&qid=1656169171&sprefix=guitar%2Caps%2C447&sr=8-37
50,Traveler Guitar Ultra-Light Acoustic Acoustic-Electric Guitar,/Traveler-Guitar-Acoustic-Electric-ULA-VRDM/dp/B07CH3CNGR/ref=sr_1_38?crid=2IQADK0QSXLPZ&keywords=guitar&qid=1656169171&sprefix=guitar%2Caps%2C447&sr=8-38
51,"Fender 6 String Acoustic-Electric Guitar, Right (0972313259)",/Fender-String-Acoustic-Electric-Guitar-0972313259/dp/B08Z4FC3M8/ref=sr_1_39?crid=2IQADK0QSXLPZ&keywords=guitar&qid=1656169171&sprefix=guitar%2Caps%2C447&sr=8-39
52,"Squier by Fender Stratocaster Beginner Guitar Pack, Laurel Fingerboard, Brown Sunburst, with Gig Bag, Amp, Strap, Cable, Picks, and Online Lessons",/Fender-Stratocaster-Beginner-Fingerboard-Sunburst/dp/B07G4VRMWZ/ref=sr_1_40?crid=2IQADK0QSXLPZ&keywords=guitar&qid=1656169171&sprefix=guitar%2Caps%2C447&sr=8-40
53,Squier by Fender Classic Vibe 70's Stratocaster Left Hand Electric Guitar - HSS - Maple - Black,/Squier-Fender-Classic-Stratocaster-Electric/dp/B07N28NZZ3/ref=sr_1_41?crid=2IQADK0QSXLPZ&keywords=guitar&qid=1656169171&sprefix=guitar%2Caps%2C447&sr=8-41
54,"Fender 6 String Acoustic-Electric Guitar, Right, Shadow Burst (972213260)",/Fender-String-Acoustic-Electric-Guitar-972213260/dp/B09LYCG25S/ref=sr_1_42?crid=2IQADK0QSXLPZ&keywords=guitar&qid=1656169171&sprefix=guitar%2Caps%2C447&sr=8-42
55,Gretsch G5700 Electromatic Lap Steel with White Plastic Fretboard - Tobacco,/Gretsch-G5700-Electromatic-Plastic-Fretboard/dp/B0038RSNWO/ref=sr_1_43?crid=2IQADK0QSXLPZ&keywords=guitar&qid=1656169171&sprefix=guitar%2Caps%2C447&sr=8-43
56,"Cordoba 6 C5-CE CD Classical Cutaway Acoustic-Electric Nylon String Guitar, Iberia Series, Right, Cedar, (Withouth Gig Bag)",/Cordoba-Iberia-Acoustic-Electric-Classical/dp/B007SQZJTQ/ref=sr_1_44?crid=2IQADK0QSXLPZ&keywords=guitar&qid=1656169171&sprefix=guitar%2Caps%2C447&sr=8-44
